,normalization_fn,normalization_nu_fn,reg_fn_alpha,reg_fn_logmin,batch_size,length_cutoff_factor,initial_flow,learning_rate,number_epoch,step_per_epoch,B_beta,path_redraw,neighborhood,ExpectedReward,size,generators,reward_fn,heuristic_fn,initial_position
50,1,0,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0487701174944749,0,0,0.6704868078231812,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
51,1,0,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0190517548336456,0,0,0.6793059706687927,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
52,4,2,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0184087778186514,0,0,0.6501225233078003,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
53,3,2,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0115743030718918,0,0,0.3145058453083038,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
54,0,0,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.008366087089471,0,0,0.705391526222229,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
55,3,1,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.012964505485597,0,0,0.3158470392227173,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
56,3,0,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0035483301286931,0,0,0.3145526349544525,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
57,1,1,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0085006768678886,0,0,0.6690468788146973,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
58,3,0,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0030223394606304,0,0,0.3293520808219909,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
59,2,0,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0322956885160639,0,0,0.6959096193313599,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
